IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
108.162.193.187,4,4,0.00,202.83,23.82
198.41.203.88,4,4,0.00,191.53,23.62
198.41.217.156,4,4,0.00,201.75,23.36
141.101.120.235,4,4,0.00,201.60,23.19
198.41.204.242,4,4,0.00,206.11,22.91
173.245.58.236,4,4,0.00,205.35,22.83
108.162.192.112,4,4,0.00,201.27,22.70
141.101.113.65,4,4,0.00,200.92,22.65
198.41.223.0,4,4,0.00,204.83,22.40
198.41.206.18,4,4,0.00,200.86,7.49
